,Sentence_Encoder_Matched_Score
0,0.3762326240539551
1,0.33559808135032654
2,0.27858296036720276
3,0.3892059922218323
4,0.1403672625310719
5,0.1321103647351265
6,0.1400470274190108
7,0.13267613123906286
8,0.1316703137010336
9,0.1381575447462854
10,0.1543277187103575
11,0.5560129880905151
12,0.10314904898405075
13,0.20709450542926788
14,0.17399717712153992
15,0.17401336474965015
16,0.1764771897966663
17,0.27497029304504395
18,0.2042148793116212
19,0.11255978047847748
20,0.2679021656513214
21,0.4939013719558716
22,0.650524914264679
23,0.37577539682388306
24,0.22513803839683533
25,0.2411147952079773
26,0.27897146344184875
27,0.4483377933502197
28,0.3444228172302246
29,0.3212817311286926
30,0.26776930689811707
31,0.3979901373386383
32,0.25740644335746765
33,0.17839500308036804
34,0.3567987382411957
35,0.30041342973709106
36,0.5241313576698303
37,0.42053595185279846
38,0.2783622443675995
39,0.39918091893196106
40,0.29522979259490967
41,0.3297298550605774
42,0.16025292873382568
43,0.28456926345825195
44,0.4684904217720032
45,0.29543548822402954
46,0.3574461042881012
47,0.5558224320411682
48,0.3041936457157135
49,0.4540660083293915
50,0.37821686267852783
51,0.3629513382911682
52,0.05022154375910759
53,0.37513068318367004
54,0.19567237794399261
55,0.17947670817375183
56,0.4062363803386688
57,0.2197750210762024
58,0.19278588891029358
59,0.4085525870323181
60,0.17295153439044952
61,0.4273391366004944
62,0.2378344088792801
63,0.26675018668174744
