TIME,PIB,IPC,M1,M3,SHORT_RATE,LONG_RATE,TAUX_DE_CHÔMAGE,DETTE_PUBLIQUE,TARGET-2,CURRENT_ACCOUNT,FINANCIAL_ACCCOUNT
2007-Q1,0.062645067,1.785077,58.67167,74.15669,3.820333,4.002243,9.066667,66.09731209,,65406.101796875,-130.363592894516
2007-Q2,0.838052582,2.059659,59.83709,76.61523,4.064833,4.330543,8.666667,66.09389049,,67683.3039193539,1833.23115079396
2007-Q3,0.518079044,2.265487,60.34344,78.34248,4.5005,4.342507,8.433333,64.53497026,,70502.1684646138,476.135494484171
2007-Q4,0.644263863,3.077467,60.70129,80.59447,4.724767,4.192527,8.2,64.15831095,,72863.5243609375,-944.831364513884
2008-Q1,0.640153777,2.946335,60.8734,82.91759,4.48,3.926686,7.9,64.43317861,,77911.3102193574,1746.32999102384
2008-Q2,-0.243822487,2.887961,61.18816,84.91039,4.860466,4.254127,7.566667,65.23815696,187293.85,85974.802725,1387.25077737477
2008-Q3,-0.637623934,3.080651,60.85036,86.07331,4.9818,4.262302,7.133333,64.77447316,302284.08,62870.8194090898,-2457.48495132552
2008-Q4,-1.59358726,1.612903,62.67307,88.03927,4.214667,3.495958,7.0,65.68163687,278867.65,46560.5928,2057.70954840414
2009-Q1,-4.684417665,0.8177172,64.8417,88.74516,2.0117,3.072666,7.133333,67.71326833,432676.95,35449.5263777773,-421.670908379677
2009-Q2,0.159631649,0.2705445,66.73515,89.23404,1.310633,3.325879,7.333333,71.46260321,462490.32,46548.8048693542,-82.0302134938583
2009-Q3,0.557834609,-0.2350571,68.49972,88.71085,0.8692,3.302082,7.366667,72.44888696,500709.65,51798.4791136347,13701.6402881686
2009-Q4,0.735876334,0.4052685,70.61455,88.28522,0.7219,3.188245,7.133333,73.15661613,492848.59,63632.8391769241,-847.76544382395
2010-Q1,0.812025848,0.8110848,72.03247,87.95174,0.6621333,3.176558,6.966667,73.27250527,582660.41,53058.0287999986,891.493373396731
2010-Q2,2.25194371,1.112985,73.48581,88.37476,0.6862667,2.780656,6.666667,74.0333298,718560.64,49352.1485730161,1028.89820124126
2010-Q3,0.817712239,1.110737,74.17053,87.22682,0.8749334,2.422121,6.366667,74.10140701,863804.19,52358.1026212124,-447.061637489127
2010-Q4,0.81107565,1.379078,74.28015,87.43161,1.020467,2.597734,6.2,81.99470735,911665.3999999999,58499.317578788,661.015707550414
2011-Q1,1.93896995,1.877305,74.51441,87.81142,1.093133,3.142469,5.866667,80.82369029,946567.81,57841.313540625,1920.69214598447
2011-Q2,0.094706566,2.001334,74.828,88.49508,1.411633,3.097448,5.566667,80.27224081,969289.51,56900.5077142855,631.096373035714
2011-Q3,0.8831004,2.197071,75.2262,88.92594,1.562067,2.262126,5.433333,79.93173272,1183699.5,58217.4918787866,898.646657342305
2011-Q4,-0.323050149,2.22296,75.81938,89.23591,1.495567,1.934697,5.233333,79.41717335,1423816.31,53842.601909375,467.270019636654
2012-Q1,0.209109421,2.138861,76.27512,89.81898,1.043,1.834423,5.1,79.988422,1660769.6099999999,65720.7366076935,1273.16536081245
2012-Q2,0.208649622,1.863963,77.16449,90.8503,0.6960334,1.420502,5.1,81.32939143,2071315.83,64682.2861887079,988.072028829036
2012-Q3,0.281110725,2.019544,78.94395,91.4547,0.3585667,1.358171,5.033333,80.80980248,2174113.7600000002,66012.9156923069,74.3344002409227
2012-Q4,-0.446428737,2.012334,80.43762,92.01022,0.1951333,1.367426,5.0,80.74514436,2090145.6099999999,59799.62566875,-635.833790037756
2013-Q1,-0.456263233,1.546392,81.02386,92.13331,0.2114667,1.470091,5.066667,80.27371977,1818231.65,67828.8277258083,107.488369484909
2013-Q2,1.068615489,1.508828,82.84247,92.83958,0.2068,1.340261,4.966667,79.6324115,1772531.29,68511.8550793626,95.5168091540727
2013-Q3,0.559757746,1.628353,83.9406,92.94563,0.2235,1.729582,4.9,78.32489067,1720465.3900000001,64670.2436424249,-1041.42128714247
2013-Q4,0.288637409,1.336303,85.29984,93.02041,0.2409,1.745698,4.833333,78.3224326,1616186.08,69618.1939546875,1994.12652275297
2014-Q1,0.973900086,1.205584,85.75899,92.99382,0.2951333,1.60766,4.8,77.01834163,1469664.1199999999,70766.1330539659,-771.885022594024
2014-Q2,0.0,1.075269,87.27158,93.69401,0.2985667,1.34931,4.733333,76.58005103,1406367.8,72605.1485080666,-828.214873215894
2014-Q3,0.508953736,0.8482563,88.94897,94.68159,0.1645667,0.9973006,4.7,75.94957805,1387771.95,76606.7109818186,437.995451480916
2014-Q4,0.810214471,0.5023548,91.52032,95.88815,0.08146667,0.6996188,4.633333,75.2790878,1397421.06,71507.5751953125,-2134.56045029002
2015-Q1,-0.512323407,-0.0511115,95.75505,98.10666,0.04603333,0.3064242,4.5,74.96029316,1560332.31,67520.1472857168,-2.58118475813377
2015-Q2,0.73714629,0.9688507,98.98041,99.62264,-0.006533334,0.4901722,4.4,73.16953602,1589457.42,71927.7187677396,-515.080919598572
2015-Q3,0.451081633,0.7288771,101.5017,100.5261,-0.0278,0.6575541,4.3,72.62566327,1659043.17,70071.7461,-1605.93729435187
2015-Q4,0.439079962,0.4092312,103.7628,101.7446,-0.08916666,0.5266241,4.233333,71.94650675,1739545.9700000002,66072.209153848,-298.342864053969
2016-Q1,0.839568541,0.3026227,105.7592,102.9403,-0.1860667,0.2582619,4.133333,71.64838683,1801195.94,67301.1469935454,1372.24897067172
2016-Q2,0.443392669,0.1328904,108.2057,104.4296,-0.2581,0.08344156,4.0,70.89934077,1962388.66,81752.1249046165,863.422542097111
2016-Q3,0.255048728,0.4973475,110.2022,105.6332,-0.2981,-0.1233719,3.866667,70.15768754,2053536.85,70629.0040909098,-291.615181830626
2016-Q4,0.36203717,1.034023,112.3475,106.5343,-0.3125,0.1476652,3.733333,68.95533578,2216348.91,60085.3855078125,-47.2121699270162
2017-Q1,1.204045529,1.642642,114.3255,107.9693,-0.3278,0.2857233,3.7,67.4206477,2439747.58,68258.8067538447,-383.414844582082
2017-Q2,0.847700291,1.426676,117.5045,109.507,-0.3299667,0.2707985,3.6,66.78670664,2561475.36,71359.6528822587,423.960074541997
2017-Q3,0.735511417,1.550643,119.7643,110.5154,-0.3296333,0.3829814,3.5,65.90118036,2587909.7,77223.4081230775,180.39075475541
