TIME;PIB;IPC;M1;M3;SHORT_RATE;LONG_RATE;TAUX_DE_CHÔMAGE;DETTE_PUBLIQUE;TARGET-2;CURRENT_ACCOUNT;FINANCIAL_ACCOUNT
2007-Q1;0,72466553;1,162397;58,67167;74,15669;3,820333;4,081;8,466666;76,29655152;;-7059,34;529,2733635
2007-Q2;0,682905062;1,172879;59,83709;76,61523;4,064833;4,4266;8,1;76,871364;;-9935,73;-1509,256017
2007-Q3;0,471213212;1,268129;60,34344;78,34248;4,5005;4,4747;8;75,75637594;;-12871,09;5227,801832
2007-Q4;0,188091423;2,345408;60,70129;80,59447;4,724767;4,3445;7,5;74,4555555;;-16032,03;-4574,353546
2008-Q1;0,480888302;2,948832;60,8734;82,91759;4,48;4,1472;7,133333;76,52210976;;-15113,63;2493,584556
2008-Q2;-0,544353535;3,304873;61,18816;84,91039;4,860466;4,5051;7,3;75,85989511;-117264,26;-19005,84;-4401,278498
2008-Q3;-0,164456134;3,249972;60,85036;86,07331;4,9818;4,604933;7,533333;76,17639974;-193887,86;-20730,24;-3447,469649
2008-Q4;-1,510604399;1,760576;62,67307;88,03927;4,214667;4,166767;7,8;78,17039876;-343996,81;-16511,01;-6660,470664
2009-Q1;-1,706881104;0,6248871;64,8417;88,74516;2,0117;4,1473;8,566667;83,46666775;-279025,29;-14264,24;-9344,913349
2009-Q2;-0,012880563;-0,2066263;66,73515;89,23404;1,310633;4,181867;9,166667;88,64664283;-156715,33;-10123,42;2445,390216
2009-Q3;0,183180844;-0,4232466;68,49972;88,71085;0,8692;3,9486;9,2;91,33044553;-216380,24;-9152,81;15162,33146
2009-Q4;0,706318109;0,3646113;70,61455;88,28522;0,7219;3,8374;9,533334;92,24860417;-225082,71;-17156,56;1077,996709
2010-Q1;0,339727904;1,324575;72,03247;87,95174;0,6621333;4,0644;9,4;94,13996165;-195710,5;-14877,59;2397,541447
2010-Q2;0,4888959;1,613594;73,48581;88,37476;0,6862667;3,8416;9,266666;96,41201445;-73486,89;-13961,92;-2222,036137
2010-Q3;0,638769193;1,543023;74,17053;87,22682;0,8749334;3,514633;9,2;94,95303479;-77642,51;-15714,32;4550,760803
2010-Q4;0,661407722;1,641913;74,28015;87,43161;1,020467;3,707033;9,2;94,62598473;-63200,02;-18967,63;3054,631278
2011-Q1;1,034585852;1,796153;74,51441;87,81142;1,093133;4,302834;9,166667;96,68122362;-66936,46;-24519,18;4207,009329
2011-Q2;-0,093143721;2,065767;74,828;88,49508;1,411633;4,469333;9,1;98,01919765;-69864,23;-25248,76;-1549,662081
2011-Q3;0,505948418;2,138661;75,2262;88,92594;1,562067;4,283167;9,2;96,90803691;-138624,74;-22440,73;-7985,475259
